deviceid,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CBreadId_0248,1.1411636123874234,12.816456194273607,89.56651306060762,16.012934654784758,25.004329681396484,01/21/2020 10:30,
CBreadId_0248,2.8560420413308103,11.67874861190026,87.25043997021848,34.6101343663209,30.008657455444336,01/21/2020 10:30,
CBreadId_0248,4.675186631527433,12.928282091184112,91.84816741677439,10.607639613424356,30.008657455444336,01/21/2020 10:40,
CBreadId_0248,4.675186631527433,12.928282091184112,91.84816741677439,10.607639613424356,30.008657455444336,01/21/2020 10:40,
CBreadId_0248,5.7687707378355,29.916989762740894,92.04973315821005,14.566309179304465,34.99567031860352,01/21/2020 10:40,
CBreadId_0248,3.538415518017727,30.684261717317206,91.0766715939824,40.62350484264064,34.99567031860352,01/21/2020 10:50,
CBreadId_0248,3.536806450912571,17.96928077387005,90.09788853807483,83.15910292353665,40,01/21/2020 10:50,
CBreadId_0248,3.7681652306418534,10.467722220137823,90.11344461195723,11.811643986903402,40,01/21/2020 11:20,
CBreadId_0248,5.275024641343891,14.981296691182736,90.12900068583964,39.55949993223381,34.99567031860352,01/21/2020 11:20,
CBreadId_0248,6.781884052045928,19.494871162227646,90.14455675972205,67.30735587756423,34.99567031860352,01/21/2020 11:30,
CBreadId_0248,8.288743462747966,24.00844563327256,90.16011283360446,95.05521182289465,30.008657455444336,01/21/2020 11:30,
CBreadId_0248,9.795602873450004,28.522020104317477,90.17566890748687,122.80306776822506,30.008657455444336,01/21/2020 11:40,
CBreadId_0248,11.302462284152043,33.03559457536239,90.19122498136927,150.55092371355548,25.004329681396484,01/21/2020 11:40,
